YEARMODA,TEMP,VISIB,WDSP,DEWP,MAX,MIN,PRCP,SNDP,I_FOG,I_RAIN_DRIZZLE,I_SNOW_ICE,I_HAIL,I_THUNDER,I_TORNADO_FUNNEL,RH
2013-05-20,26.4,16.1,6.4,16,31.1,23.3,0,0,0,0,0,0,0,0,52.9
2013-05-21,22.7,15.4,6,16.5,31.7,17.8,30,0,0,1,0,0,1,0,67.9
2013-05-22,20.4,13.7,3.1,17.3,25,17,18,0,0,1,0,0,1,0,83.3
2013-05-23,12,14,6.2,8.8,22.8,8.9,29.2,0,0,1,0,0,0,0,78.6
2013-05-24,8.8,16.1,4.8,0.8,13.9,5,0.3,0,0,0,0,0,0,0,54.5
2013-05-25,9.9,16.1,2.1,2.2,13.9,5,0,0,0,0,0,0,0,0,58.3
2013-05-26,12.5,16.1,3,4.7,20,6.7,0,0,0,1,0,0,0,0,64.3
2013-05-27,14.1,11.6,4.1,10.8,20,6.7,0.5,0,0,1,0,0,0,0,81.2
2013-05-28,18.2,13.7,4,16.2,24.4,11.7,9.1,0,0,1,0,0,1,0,85.7
2013-05-29,21.7,15.6,3.7,18.1,28.9,13.3,2,0,0,1,0,0,1,0,80.8
2013-05-30,24.7,16.1,6.7,18.9,28.9,17.8,0.3,0,0,1,0,0,1,0,71
2013-05-31,21.4,15.3,5.5,17.9,28.3,17.8,20.6,0,0,1,0,0,1,0,84
2013-06-01,21.3,16.1,6.2,17.8,25,18.3,7.6,0,0,1,0,0,1,0,80
2013-06-02,14.2,14.3,3.8,12.6,24.4,9.4,14.2,0,0,1,0,0,0,0,93.8
2013-06-03,12,16.1,1.5,6,20,6.1,0.3,0,0,0,0,0,0,0,64.3
2013-06-04,15.7,16.1,2.6,6.6,22.2,6.1,0,0,0,0,0,0,0,0,55.6
2013-06-05,16.4,16.1,3.7,8.6,23,12.2,0,0,0,1,0,0,0,0,57.9
2013-06-06,14.3,16.1,4.1,10.4,22.8,12.2,0.5,0,0,1,0,0,0,0,81.2
2013-06-07,14.4,16.1,4.7,8.3,20,11.1,3.6,0,0,0,0,0,0,0,68.8
2013-06-08,16.8,16.1,2.4,5.1,23.3,9.4,3.6,0,0,0,0,0,0,0,47.4
2013-06-09,19.2,16.1,4,11.2,26.7,9.4,0,0,0,0,0,0,0,0,59.1
